first_publish_year,keyword,book_mentions,keyword_count,weighted_keyword_count
2006,space,5,6,38.119081940090766
2006,vampire,6,12,82.53236766629439
2006,werewolf,2,2,11.759491551124611
2006,wizard,2,3,20.17414556321335
2007,academy,7,11,72.88830410991237
2007,alien,4,5,31.892195795133112
2007,angel,2,2,17.506585029196533
2007,apocalypse,1,1,6.8825344160010555
2007,court,7,14,89.19503170461101
2007,curse,10,11,69.02638407970551
2007,demon,5,6,45.77936031828823
2007,district,1,1,5.906444932872578
2007,dragon,8,12,76.40682566893538
2007,ghost,11,13,81.5837710431725
2007,kingdom,10,13,80.47348143731037
2007,love,38,48,310.7488409374558
2007,magic,40,60,375.7210769256657
2007,mate,3,4,26.86917720058223
2007,prophecy,7,7,49.088959652620716
2007,realm,7,9,57.13774535662389
2007,rebellion,4,4,24.167038394861514
2007,robot,1,6,38.7561521155597
2007,school,35,43,276.2061618635213
2007,space,4,7,43.113237904441405
2007,vampire,16,40,286.1419566490253
2007,werewolf,1,1,8.202615527957583
2007,wizard,6,8,55.0337844113051
2008,academy,8,11,71.36995130838213
2008,alien,4,4,25.120451877220184
2008,angel,5,8,55.184881179880534
2008,apocalypse,1,1,6.720418395208925
2008,court,7,7,44.259512401565374
2008,curse,11,15,99.69394049607706
2008,demon,5,5,35.124253003914404
2008,dragon,14,22,151.33248833770656
2008,ghost,5,8,54.28827320320915
2008,kingdom,17,24,155.69471110084112
2008,love,52,72,474.3597647825245
2008,magic,32,50,329.4774020629014
2008,mate,2,3,18.38116161199245
2008,prophecy,9,10,67.47155938769556
2008,realm,5,5,31.689122289907857
2008,rebellion,3,3,18.33001352258068
2008,robot,1,1,5.258563598359013
2008,school,39,48,317.1559215065485
2008,space,5,6,39.196118275038
2008,vampire,21,43,291.0542029341882
2008,werewolf,2,2,14.304313162435285
2008,wizard,6,9,60.31451170152506
2009,academy,12,18,130.2317613295492
2009,alien,2,2,12.181973217076377
2009,angel,10,18,114.40182692989717
2009,apocalypse,1,1,7.857915310214348
2009,court,6,8,51.86660794635209
2009,curse,12,17,110.71324955015525
2009,demon,9,13,89.63058249043641
2009,district,2,2,16.3767255351894
2009,dragon,19,26,173.09378050595163
2009,dystopia,1,1,8.051472176368984
2009,ghost,12,16,101.30537569446666
2009,kingdom,17,21,138.44004689326664
2009,love,65,102,658.8643013297424
2009,magic,33,51,319.1062224636567
2009,mate,2,2,12.195164783664431
2009,prophecy,9,13,90.95278174924984
2009,realm,11,11,69.87475729916282
2009,rebellion,3,4,32.557048849714185
2009,robot,3,4,25.062563418263682
2009,school,62,85,541.7265899695082
2009,space,9,11,69.83182647715873
2009,vampire,25,49,340.03118275885765
2009,werewolf,7,7,47.832581467178876
2009,wizard,6,11,74.7556356769401
2010,academy,17,28,193.6752260811442
2010,alien,5,6,36.53012365285758
2010,angel,21,33,219.25685254459643
2010,apocalypse,2,2,14.498142659776255
2010,court,6,9,56.79219327737319
2010,curse,14,24,155.74088388037248
2010,demon,12,25,168.5161520483166
2010,district,1,1,9.033407309203492
2010,dragon,13,26,153.50992340302045
2010,dystopia,1,1,6.583247663034038
2010,ghost,18,28,181.19409772593113
2010,kingdom,16,26,164.45879485411388
2010,love,93,137,891.7001860758053
2010,magic,50,77,494.5459195308763
2010,mate,7,8,52.258649556495484
2010,prophecy,7,9,58.60154321871174
2010,realm,8,9,60.37586726700441
2010,rebellion,3,3,19.26071385739322
2010,robot,3,3,19.21301735332009
2010,school,66,87,572.6429739798662
2010,space,6,9,44.13000781185204
2010,vampire,45,86,581.7878330469852
2010,werewolf,14,18,118.51293151570806
2010,wizard,8,9,56.632938150867986
2011,academy,24,32,206.71613332784906
2011,alien,10,14,85.74462039429139
2011,angel,31,42,275.45646955156224
2011,apocalypse,6,6,33.676573191562795
2011,court,6,10,68.52172144312259
2011,curse,18,23,151.466953868371
2011,demon,24,45,279.78167863121854
2011,district,1,1,6.253326669088039
2011,dragon,16,34,219.05345436263914
2011,fae,7,13,83.53155702732762
2011,ghost,18,30,192.242783021712
2011,kingdom,21,23,151.83315627941622
2011,love,163,230,1494.0275359099514
2011,magic,70,109,685.9367084556018
2011,mate,11,17,107.26977465987903
2011,prophecy,16,23,143.2824160746624
2011,realm,19,20,126.27892671049635
2011,rebellion,7,7,45.578748196906275
2011,robot,2,2,12.094274584865612
2011,school,104,134,836.8047800005587
2011,space,14,16,88.78645433723626
2011,vampire,56,136,848.8694678387296
2011,werewolf,11,19,119.11710871466414
2011,wizard,8,15,92.86528141294664
2012,academy,26,35,220.0197401565534
2012,alien,14,21,130.959291186475
2012,angel,32,52,323.33744721653
2012,apocalypse,14,15,91.52962599891988
2012,court,10,12,82.68394879292357
