word,weighted_share_after,book_mentions,weighted_share_before,era_transition,share_change
boyfriend,0.0005865073827576715,118.0,0.000314824029830743,1997-2008 to 2009-2013,0.00027168335292692845
yet,0.0011057951415324597,217.0,0.0008351338893290108,1997-2008 to 2009-2013,0.00027066125220344894
kill,0.0006823188823318892,139.0,0.00041172829006468005,1997-2008 to 2009-2013,0.00027059059226720915
learns,0.0009681357437190932,202.0,0.0006977782609892833,1997-2008 to 2009-2013,0.00027035748272980994
gone,0.000638663901212105,128.0,0.00037021168257228435,1997-2008 to 2009-2013,0.00026845221863982063
immortal,0.0004651628093841968,86.0,0.0001985074719704805,1997-2008 to 2009-2013,0.0002666553374137163
fallen,0.00041234118963001713,77.0,0.00014662517578532775,1997-2008 to 2009-2013,0.0002657160138446894
abilities,0.00046692074931201295,95.0,0.00020363212009392418,1997-2008 to 2009-2013,0.00026328862921808874
since,0.0010973043798827907,207.0,0.0008392822668637274,1997-2008 to 2009-2013,0.0002580221130190633
feelings,0.0003993824500048205,81.0,0.0001415363765697783,1997-2008 to 2009-2013,0.00025784607343504217
riley,0.00025609660172871236,17.0,0.0,1997-2008 to 2009-2013,0.00025609660172871236
changed,0.00043969886770703505,86.0,0.00018401387063952338,1997-2008 to 2009-2013,0.00025568499706751167
finds,0.0019211553209672078,385.0,0.0016662893433199225,1997-2008 to 2009-2013,0.00025486597764728535
paranormal,0.00032722097964459225,64.0,7.325707325347434e-05,1997-2008 to 2009-2013,0.00025396390639111793
sixteen-year-old,0.0003944127062102359,86.0,0.00014137806210849925,1997-2008 to 2009-2013,0.00025303464410173664
lily,0.0003129778740907758,21.0,6.261709029165837e-05,1997-2008 to 2009-2013,0.00025036078379911744
times,0.0010388221753145296,192.0,0.0007889112273080043,1997-2008 to 2009-2013,0.0002499109480065253
stefan,0.00024982791021489536,14.0,0.0,1997-2008 to 2009-2013,0.00024982791021489536
human,0.0016459755063372588,283.0,0.0013976180492965302,1997-2008 to 2009-2013,0.00024835745704072866
forced,0.000824365817838101,180.0,0.0005762354071536954,1997-2008 to 2009-2013,0.0002481304106844056
boys,0.0005474329687766913,87.0,0.0002998529874610338,1997-2008 to 2009-2013,0.00024757998131565747
caleb,0.0002474445250147449,22.0,0.0,1997-2008 to 2009-2013,0.0002474445250147449
hard,0.0005704630507432916,125.0,0.0003244522007924428,1997-2008 to 2009-2013,0.0002460108499508488
choice,0.0007167764432330638,144.0,0.00047138294889468365,1997-2008 to 2009-2013,0.0002453934943383801
eyes,0.0006431091817674855,133.0,0.0003985573175916496,1997-2008 to 2009-2013,0.0002445518641758359
remember,0.00038611945391110606,68.0,0.0001417262632873246,1997-2008 to 2009-2013,0.0002443931906237815
stop,0.00115012003565415,237.0,0.0009072968130447864,1997-2008 to 2009-2013,0.00024282322260936354
means,0.0007794357695436767,157.0,0.0005378702845774191,1997-2008 to 2009-2013,0.0002415654849662576
academy,0.0006348805425748913,97.0,0.0003948110248730432,1997-2008 to 2009-2013,0.00024006951770184806
seventeen-year-old,0.000342725902343082,75.0,0.00010326029847783617,1997-2008 to 2009-2013,0.0002394656038652458
gorgeous,0.00036939567939302617,78.0,0.00013018045767520484,1997-2008 to 2009-2013,0.00023921522171782133
daniel,0.0003203127796291756,34.0,8.293101582403162e-05,1997-2008 to 2009-2013,0.00023738176380514402
someone,0.0009762004777036778,186.0,0.0007402657785798526,1997-2008 to 2009-2013,0.00023593469912382516
loved,0.00040832896833908926,76.0,0.00017314927800150316,1997-2008 to 2009-2013,0.0002351796903375861
end,0.0012200198612633325,231.0,0.0009870628357410865,1997-2008 to 2009-2013,0.000232957025522246
still,0.001208869401723423,229.0,0.0009761355368199505,1997-2008 to 2009-2013,0.00023273386490347246
without,0.0009373587545250449,182.0,0.0007047323686330385,1997-2008 to 2009-2013,0.00023262638589200638
sacrifice,0.0004681640946969755,89.0,0.0002355979633917348,1997-2008 to 2009-2013,0.00023256613130524068
right,0.0008442842292502642,173.0,0.0006122544718374949,1997-2008 to 2009-2013,0.00023202975741276935
seems,0.0012173049555395973,242.0,0.0009856191351607297,1997-2008 to 2009-2013,0.00023168582037886762
anna,0.00029690999370921787,25.0,6.545702968637726e-05,1997-2008 to 2009-2013,0.0002314529640228406
next,0.0007342852655054469,149.0,0.000503829481787312,1997-2008 to 2009-2013,0.00023045578371813495
struggles,0.0004126129957879031,87.0,0.00018232834374691764,1997-2008 to 2009-2013,0.00023028465204098547
don,0.0003645295991898542,72.0,0.0001358284569532619,1997-2008 to 2009-2013,0.0002287011422365923
mortal,0.0005014002147545258,78.0,0.0002727353772503379,1997-2008 to 2009-2013,0.0002286648375041879
feels,0.0005197435789990796,104.0,0.0002913966337696441,1997-2008 to 2009-2013,0.0002283469452294355
leave,0.0006473182537603627,140.0,0.00041998712683898184,1997-2008 to 2009-2013,0.00022733112692138084
forbidden,0.0004987737114421692,96.0,0.00027174999799697966,1997-2008 to 2009-2013,0.0002270237134451895
exactly,0.00035909488594864855,69.0,0.00013236146561490625,1997-2008 to 2009-2013,0.0002267334203337423
last,0.001540734781350598,289.0,0.001315112090372845,1997-2008 to 2009-2013,0.00022562269097775286
trilogy,0.0007430510676568012,129.0,0.0005177875791201894,1997-2008 to 2009-2013,0.00022526348853661173
hunt,0.0004617095635106286,91.0,0.00023677738800992294,1997-2008 to 2009-2013,0.00022493217550070566
perfect,0.0007075149396319732,133.0,0.000482911936032472,1997-2008 to 2009-2013,0.00022460300359950115
far,0.0009862725989623284,194.0,0.0007620083461906236,1997-2008 to 2009-2013,0.00022426425277170478
tessa,0.00022360925632578405,15.0,0.0,1997-2008 to 2009-2013,0.00022360925632578405
destined,0.00033942761274506557,65.0,0.00011810255251790384,1997-2008 to 2009-2013,0.00022132506022716172
beautiful,0.0009246220738550792,180.0,0.0007035989451919204,1997-2008 to 2009-2013,0.00022102312866315878
side,0.0007872304304997307,157.0,0.0005664497179345716,1997-2008 to 2009-2013,0.00022078071256515907
demon,0.0005555973896256898,74.0,0.0003354907567130847,1997-2008 to 2009-2013,0.0002201066329126051
