first_publish_year,theme_label,weighted_popularity,book_count,year_weighted_popularity,popularity_share,scenario
2020,Epic / High Fantasy,83.99963837939518,20,311.06138839141533,0.27004199657752637,all_books
2020,Middle Grade Fantasy,57.07370341049779,14,311.06138839141533,0.18348051394498602,all_books
2020,Mythology Adventure,13.063001807272073,4,311.06138839141533,0.041994931851955256,all_books
2020,Paranormal / Supernatural,41.92526079455814,11,311.06138839141533,0.13478130799635818,all_books
2020,Paranormal Romance,24.475235249676185,8,311.06138839141533,0.07868297436799987,all_books
2020,Romantasy,12.627377982446227,4,311.06138839141533,0.040594488591933243,all_books
2020,Science Fiction,53.39527732956954,14,311.06138839141533,0.17165511157039232,all_books
2021,Epic / High Fantasy,17.697465323139173,3,29.809636614963797,0.5936826923363241,all_books
2021,Middle Grade Fantasy,2.903960894009653,1,29.809636614963797,0.09741684984351427,all_books
2021,Mythology Adventure,2.903960894009653,1,29.809636614963797,0.09741684984351427,all_books
2021,Paranormal / Supernatural,3.152124751902658,1,29.809636614963797,0.10574180398832367,all_books
2021,Paranormal Romance,3.152124751902658,1,29.809636614963797,0.10574180398832367,all_books
1997,Dystopian / Post-Apocalyptic,12.836400988267304,5,550.9642213749825,0.023298066353987328,top_1pct_removed
1997,Epic / High Fantasy,87.79727936926027,21,550.9642213749825,0.1593520522079528,top_1pct_removed
1997,Middle Grade Fantasy,214.005426448415,51,550.9642213749825,0.3884198250012397,top_1pct_removed
1997,Mythology Adventure,14.371432865674217,4,550.9642213749825,0.02608414903931324,top_1pct_removed
1997,Paranormal / Supernatural,60.62408316432206,18,550.9642213749825,0.11003270414370832,top_1pct_removed
1997,Paranormal Romance,24.051577083652248,8,550.9642213749825,0.043653609709228124,top_1pct_removed
1997,Romantasy,13.671196901090049,3,550.9642213749825,0.024813220842130737,top_1pct_removed
1997,Science Fiction,123.60682455430137,34,550.9642213749825,0.22434637270243982,top_1pct_removed
1998,Dystopian / Post-Apocalyptic,13.0934625647472,5,436.61242677914197,0.029988753781784727,top_1pct_removed
1998,Epic / High Fantasy,68.3749189789459,16,436.61242677914197,0.15660323615464336,top_1pct_removed
1998,Middle Grade Fantasy,173.93105940613432,40,436.61242677914197,0.3983648855100416,top_1pct_removed
1998,Mythology Adventure,25.292531033412928,5,436.61242677914197,0.0579290223597026,top_1pct_removed
1998,Paranormal / Supernatural,42.9215141169424,12,436.61242677914197,0.09830575467943338,top_1pct_removed
1998,Paranormal Romance,18.967979193468242,6,436.61242677914197,0.043443516560885916,top_1pct_removed
1998,Science Fiction,94.03096148549099,24,436.61242677914197,0.21536483095350845,top_1pct_removed
1999,Dystopian / Post-Apocalyptic,24.84034314091659,8,554.55403324451,0.044793368457865246,top_1pct_removed
1999,Epic / High Fantasy,58.80604779506904,14,554.55403324451,0.10604205229743717,top_1pct_removed
1999,Middle Grade Fantasy,266.2537686376198,56,554.55403324451,0.48012231933443555,top_1pct_removed
1999,Mythology Adventure,18.902142133501616,8,554.55403324451,0.03408530278449425,top_1pct_removed
1999,Paranormal / Supernatural,92.48231019465916,18,554.55403324451,0.1667687991620512,top_1pct_removed
1999,Paranormal Romance,5.549484911242736,2,554.55403324451,0.010007113064843398,top_1pct_removed
1999,Romantasy,2.2965418706367577,1,554.55403324451,0.004141240948515801,top_1pct_removed
1999,Science Fiction,85.42339456086425,27,554.55403324451,0.1540398039503573,top_1pct_removed
2000,Dystopian / Post-Apocalyptic,26.46675743537446,9,664.2679399935333,0.03984349664027458,top_1pct_removed
2000,Epic / High Fantasy,84.57139891568697,21,664.2679399935333,0.12731518988634358,top_1pct_removed
2000,Middle Grade Fantasy,311.1270358293746,73,664.2679399935333,0.4683758120742715,top_1pct_removed
2000,Mythology Adventure,63.28041634745046,16,664.2679399935333,0.0952633907758163,top_1pct_removed
2000,Paranormal / Supernatural,58.29577197886237,17,664.2679399935333,0.0877594242760382,top_1pct_removed
2000,Paranormal Romance,19.210528395841067,6,664.2679399935333,0.028919848812857175,top_1pct_removed
2000,Romantasy,3.167830241848858,1,664.2679399935333,0.004768904309727332,top_1pct_removed
2000,Science Fiction,98.14820084909452,32,664.2679399935333,0.14775393322467134,top_1pct_removed
2001,Dystopian / Post-Apocalyptic,24.619922830817522,8,822.041121796765,0.029949746038257632,top_1pct_removed
2001,Epic / High Fantasy,107.76105525420479,29,822.041121796765,0.13108961631830238,top_1pct_removed
2001,Middle Grade Fantasy,330.71287833566527,77,822.041121796765,0.40230697658143205,top_1pct_removed
2001,Mythology Adventure,43.6305273288842,9,822.041121796765,0.05307584520044372,top_1pct_removed
2001,Paranormal / Supernatural,126.9121513679392,34,822.041121796765,0.154386621304957,top_1pct_removed
2001,Paranormal Romance,59.32563455101497,18,822.041121796765,0.07216869445818573,top_1pct_removed
2001,Romantasy,7.107811230301374,2,822.041121796765,0.008646539743371444,top_1pct_removed
2001,Science Fiction,121.9711408979376,36,822.041121796765,0.14837596035504996,top_1pct_removed
2002,Dystopian / Post-Apocalyptic,25.982999034008337,9,920.5548749905188,0.028225366830278258,top_1pct_removed
2002,Epic / High Fantasy,112.51500977408375,28,920.5548749905188,0.12222520659101674,top_1pct_removed
2002,Middle Grade Fantasy,344.5752919036386,78,920.5548749905188,0.3743126034797084,top_1pct_removed
2002,Mythology Adventure,33.23616370206949,7,920.5548749905188,0.036104489373772315,top_1pct_removed
2002,Paranormal / Supernatural,126.84921652376619,33,920.5548749905188,0.13779647468063505,top_1pct_removed
2002,Paranormal Romance,49.717465339815725,16,920.5548749905188,0.05400814953082269,top_1pct_removed
2002,Romantasy,26.264635039436758,8,920.5548749905188,0.028531308402127867,top_1pct_removed
2002,Science Fiction,201.4140936737,47,920.5548749905188,0.21879640111163873,top_1pct_removed
2003,Dystopian / Post-Apocalyptic,33.70029350579655,12,1178.0357308957202,0.02860719129476023,top_1pct_removed
2003,Epic / High Fantasy,212.59201848518717,55,1178.0357308957202,0.18046313274686726,top_1pct_removed
2003,Middle Grade Fantasy,420.02373576657453,97,1178.0357308957202,0.35654583706659665,top_1pct_removed
2003,Mythology Adventure,36.954424394195954,11,1178.0357308957202,0.03136952761704234,top_1pct_removed
2003,Paranormal / Supernatural,145.60554138395506,35,1178.0357308957202,0.12360027592137955,top_1pct_removed
2003,Paranormal Romance,47.341775444085165,15,1178.0357308957202,0.040187045437143756,top_1pct_removed
2003,Romantasy,32.64202256720941,10,1178.0357308957202,0.0277088561162657,top_1pct_removed
2003,Science Fiction,249.17591934871632,63,1178.0357308957202,0.21151813379994447,top_1pct_removed
2004,Dystopian / Post-Apocalyptic,54.63298260785164,17,1113.1543011293522,0.04907943359911889,top_1pct_removed
2004,Epic / High Fantasy,174.77632922593176,44,1113.1543011293522,0.1570099752106354,top_1pct_removed
2004,Middle Grade Fantasy,401.3719774058643,90,1113.1543011293522,0.36057173475290155,top_1pct_removed
2004,Mythology Adventure,52.9493724507124,13,1113.1543011293522,0.04756696569109291,top_1pct_removed
2004,Paranormal / Supernatural,165.02521911030016,41,1113.1543011293522,0.14825008441585644,top_1pct_removed
2004,Paranormal Romance,53.85290214580269,17,1113.1543011293522,0.04837864983422887,top_1pct_removed
2004,Romantasy,31.70159674475286,10,1113.1543011293522,0.028479067738039515,top_1pct_removed
2004,Science Fiction,178.8439214381365,49,1113.1543011293522,0.1606640887581265,top_1pct_removed
2005,Dystopian / Post-Apocalyptic,33.657272947285485,11,1352.0400492476194,0.02489369524668668,top_1pct_removed
2005,Epic / High Fantasy,199.17560017144723,49,1352.0400492476194,0.14731486710196498,top_1pct_removed
2005,Middle Grade Fantasy,502.4565394874103,109,1352.0400492476194,0.37162844382236776,top_1pct_removed
2005,Mythology Adventure,70.28685023098778,16,1352.0400492476194,0.051985775325295185,top_1pct_removed
2005,Paranormal / Supernatural,243.46580837385903,63,1352.0400492476194,0.18007292647088555,top_1pct_removed
2005,Paranormal Romance,78.4394998832896,25,1352.0400492476194,0.058015663017481955,top_1pct_removed
2005,Romantasy,37.94386214147318,11,1352.0400492476194,0.028064155468314794,top_1pct_removed
2005,Science Fiction,186.61461601186681,47,1352.0400492476194,0.1380244735470031,top_1pct_removed
2006,Dystopian / Post-Apocalyptic,58.13821696320752,19,1369.3972361169936,0.04245533394536552,top_1pct_removed
2006,Epic / High Fantasy,250.88853016013786,64,1369.3972361169936,0.1832109219612178,top_1pct_removed
2006,Middle Grade Fantasy,441.90993120231514,104,1369.3972361169936,0.3227039748198826,top_1pct_removed
2006,Mythology Adventure,59.42934160150875,16,1369.3972361169936,0.04339817551408542,top_1pct_removed
2006,Paranormal / Supernatural,204.53276464906315,57,1369.3972361169936,0.14935970312677704,top_1pct_removed
2006,Paranormal Romance,77.28573632629207,27,1369.3972361169936,0.05643777735775218,top_1pct_removed
2006,Romantasy,43.14440158261489,14,1369.3972361169936,0.03150612579367648,top_1pct_removed
2006,Science Fiction,234.06831363185404,62,1369.3972361169936,0.17092798748124285,top_1pct_removed
2007,Dystopian / Post-Apocalyptic,59.514917600962455,21,1785.0234573661824,0.033341252382631,top_1pct_removed
2007,Epic / High Fantasy,279.9717941343203,76,1785.0234573661824,0.15684488233416335,top_1pct_removed
2007,Middle Grade Fantasy,639.6161759579109,146,1785.0234573661824,0.3583236810241531,top_1pct_removed
2007,Mythology Adventure,121.01767984732142,29,1785.0234573661824,0.06779612858751115,top_1pct_removed
2007,Paranormal / Supernatural,245.55973792177863,65,1785.0234573661824,0.1375666728123025,top_1pct_removed
2007,Paranormal Romance,123.68839743436632,38,1785.0234573661824,0.06929230925450673,top_1pct_removed
2007,Romantasy,38.848228170971666,12,1785.0234573661824,0.02176342725954569,top_1pct_removed
2007,Science Fiction,276.8065262985506,65,1785.0234573661824,0.15507164634518641,top_1pct_removed
2008,Dystopian / Post-Apocalyptic,113.99676449294671,31,1915.4639728602745,0.05951391731096909,top_1pct_removed
2008,Epic / High Fantasy,293.05413213428966,73,1915.4639728602745,0.15299381052658764,top_1pct_removed
2008,Middle Grade Fantasy,579.5945246647047,135,1915.4639728602745,0.30258701436144625,top_1pct_removed
2008,Mythology Adventure,48.27322547864305,12,1915.4639728602745,0.025201844651016252,top_1pct_removed
2008,Paranormal / Supernatural,340.9382499790875,91,1915.4639728602745,0.17799251503017313,top_1pct_removed
2008,Paranormal Romance,175.34403309886466,55,1915.4639728602745,0.09154128481833644,top_1pct_removed
2008,Romantasy,38.906272323837435,11,1915.4639728602745,0.02031167010974395,top_1pct_removed
2008,Science Fiction,325.3567706879007,82,1915.4639728602745,0.16985794319172726,top_1pct_removed
2009,Dystopian / Post-Apocalyptic,111.83940891291118,32,2338.459259196325,0.04782610963739767,top_1pct_removed
2009,Epic / High Fantasy,332.60188868510767,79,2338.459259196325,0.14223120945002707,top_1pct_removed
2009,Middle Grade Fantasy,527.1030037815899,124,2338.459259196325,0.22540610947515208,top_1pct_removed
2009,Mythology Adventure,95.61785173960368,22,2338.459259196325,0.04088925276913541,top_1pct_removed
2009,Paranormal / Supernatural,581.6474858567876,157,2338.459259196325,0.24873107520234777,top_1pct_removed
2009,Paranormal Romance,319.45258005450296,101,2338.459259196325,0.13660814435753374,top_1pct_removed
2009,Romantasy,36.22247551149283,12,2338.459259196325,0.015489889494137122,top_1pct_removed
2009,Science Fiction,333.9745646543291,91,2338.459259196325,0.14281820961426905,top_1pct_removed
2010,Dystopian / Post-Apocalyptic,165.7622521651398,54,3170.3010185674384,0.052285966283429665,top_1pct_removed
2010,Epic / High Fantasy,312.1656987795697,79,3170.3010185674384,0.09846563368945571,top_1pct_removed
2010,Middle Grade Fantasy,678.1864961862766,155,3170.3010185674384,0.21391864438561364,top_1pct_removed
2010,Mythology Adventure,129.40064961474096,33,3170.3010185674384,0.040816518323302034,top_1pct_removed
2010,Paranormal / Supernatural,786.6500328865039,228,3170.3010185674384,0.24813102234751416,top_1pct_removed
2010,Paranormal Romance,555.0756828164513,177,3170.3010185674384,0.17508611313738054,top_1pct_removed
2010,Romantasy,60.61237520331727,17,3170.3010185674384,0.019118807598499318,top_1pct_removed
2010,Science Fiction,482.44783091543906,126,3170.3010185674384,0.152177294234805,top_1pct_removed
2011,Dystopian / Post-Apocalyptic,337.31686007930216,116,4377.990684967258,0.07704832749817166,top_1pct_removed
2011,Epic / High Fantasy,485.7525311006119,119,4377.990684967258,0.11095330393656257,top_1pct_removed
2011,Middle Grade Fantasy,516.8641326189326,112,4377.990684967258,0.11805966933499724,top_1pct_removed
2011,Mythology Adventure,303.1191904563693,61,4377.990684967258,0.0692370569670676,top_1pct_removed
2011,Paranormal / Supernatural,1119.7397667337507,347,4377.990684967258,0.25576568049324777,top_1pct_removed
2011,Paranormal Romance,825.1865109720866,284,4377.990684967258,0.18848521396026177,top_1pct_removed
2011,Romantasy,108.06991686520712,30,4377.990684967258,0.024684821106698028,top_1pct_removed
2011,Science Fiction,681.9417761409974,199,4377.990684967258,0.1557659267029933,top_1pct_removed
2012,Dystopian / Post-Apocalyptic,514.6063031917271,171,4688.666025657282,0.10975537612952221,top_1pct_removed
2012,Epic / High Fantasy,525.5225654295975,125,4688.666025657282,0.11208359958969928,top_1pct_removed
2012,Middle Grade Fantasy,559.3177145358551,125,4688.666025657282,0.11929143843369543,top_1pct_removed
2012,Mythology Adventure,287.30154972395246,65,4688.666025657282,0.06127575479929326,top_1pct_removed
2012,Paranormal / Supernatural,1077.7995143450116,335,4688.666025657282,0.22987338156462528,top_1pct_removed
2012,Paranormal Romance,766.1809853053323,268,4688.666025657282,0.16341129462253073,top_1pct_removed
2012,Romantasy,124.9328143606632,37,4688.666025657282,0.026645705553990585,top_1pct_removed
2012,Science Fiction,833.0045787651428,240,4688.666025657282,0.1776634493066432,top_1pct_removed
2013,Dystopian / Post-Apocalyptic,493.4347961713716,162,3750.8045752703692,0.13155438687066318,top_1pct_removed
2013,Epic / High Fantasy,313.7401446081859,74,3750.8045752703692,0.08364609200829147,top_1pct_removed
