data_driven_era,book_share,rating_share,bbe_vote_share,series_flag,title_clean,primary_author
1997-2008,0.06454866364094806,0.7812427190627619,0.9396922638552501,series,Don't Let the Pigeon Drive the Bus!,Mo Willems
1997-2008,0.06505295007564296,0.7821692584932413,0.9399415871206724,series,Ptolemy's Gate,Jonathan Stroud
1997-2008,0.06555723651033787,0.7830835261093843,0.9403333808234792,series,The House of the Scorpion,Nancy Farmer
1997-2008,0.06606152294503277,0.7839928268395351,0.9405257159139478,series,Grip of the Shadow Plague,Brandon Mull
1997-2008,0.06656580937972768,0.7848967651939427,0.9407109274825474,series,Tithe,Holly Black
1997-2008,0.0670700958144226,0.7858005755957838,0.9407892862231088,series,The Field Guide,Tony DiTerlizzi
1997-2008,0.06757438224911749,0.7867025016052812,0.9410314859666619,series,Wake,Lisa McMann
1997-2008,0.0680786686838124,0.787602264053199,0.9411383387947001,series,Dragon Rider,Cornelia Funke
1997-2008,0.06858295511850732,0.7884837641802559,0.9417794557629292,series,Into the Wild,Erin Hunter
1997-2008,0.06908724155320221,0.7893647524970466,0.9419504202877903,series,The Maze of Bones,Rick Riordan
1997-2008,0.06959152798789713,0.7902398898919311,0.9425701666904117,series,Evernight,Claudia Gray
1997-2008,0.07009581442259204,0.7911135500162744,0.9431044308306027,series,Inkdeath,Cornelia Funke
1997-2008,0.07060010085728693,0.7919844766085143,0.9433466305741559,series,Revelations,Melissa de la Cruz
1997-2008,0.07110438729198185,0.7928252063950507,0.9436885596238781,series,The Magicians' Guild,Trudi Canavan
1997-2008,0.07160867372667676,0.7936601085237835,0.9438951417580852,series,Magic Study,Maria V. Snyder
1997-2008,0.07211296016137166,0.7944923585447736,0.943923635845562,standalone,A Bad Case of Stripes,David Shannon
1997-2008,0.07261724659606657,0.7953208165169734,0.9441230944579,series,Peter and the Starcatchers,Dave Barry
1997-2008,0.07312153303076148,0.7961473668327266,0.9442085767203305,series,Shadow of the Hegemon,Orson Scott Card
1997-2008,0.07362581946545638,0.7969578881815077,0.9442157002421997,blockbuster_franchise,Harry Potter and the Chamber of Secrets: Sheet Music for Flute with C.D,John Williams
1997-2008,0.07413010590015129,0.7977680024084861,0.9445861233793987,series,Impulse,Ellen Hopkins
1997-2008,0.07463439233484619,0.7985744292751378,0.9446431115543524,series,Forever in Blue: The Fourth Summer of the Sisterhood,Ann Brashares
1997-2008,0.0751386787695411,0.7993630009427313,0.944692976207437,series,Flyte,Angie Sage
1997-2008,0.07564296520423601,0.800149199671818,0.9448710642541672,series,The Two Princesses of Bamarre,Gail Carson Levine
1997-2008,0.07614725163893091,0.8009289542443716,0.9450420287790283,series,The Icebound Land,John Flanagan
1997-2008,0.07665153807362582,0.8016966812756703,0.9450562758227667,series,The Stonekeeper,Kazu Kibuishi
1997-2008,0.07715582450832073,0.8024581618953116,0.9454409460037042,series,The Final Warning,James Patterson
1997-2008,0.07766011094301563,0.8032194215059743,0.9457045163128651,series,The Sweet Far Thing,Libba Bray
1997-2008,0.07816439737771054,0.8039655710817336,0.9458256161846417,series,Terrier,Tamora Pierce
1997-2008,0.07866868381240545,0.8047096617843768,0.9459467160564183,series,A Hat Full of Sky,Terry Pratchett
1997-2008,0.07917297024710035,0.8054435395457996,0.9460250747969796,series,Academ's Fury,Jim Butcher
1997-2008,0.07967725668179526,0.8061761726777115,0.9462743980624021,series,Shadowland,Meg Cabot
1997-2008,0.08018154311649017,0.8068941610567802,0.9464881037184785,series,Fairest,Gail Carson Levine
1997-2008,0.08068582955118507,0.8076086016601404,0.9472289499928764,series,"Night World, No. 1",L.J. Smith
