first_publish_year,theme_label,theme_popularity,book_count,avg_popularity_score,year_popularity,popularity_share,popularity_share_pct
2010,Paranormal / Supernatural,786.6500328865039,228,0.035018697210039015,3206.579706374019,0.24532371090692237,24.532371090692237
2010,Paranormal Romance,555.0756828164513,177,0.10891320304237882,3206.579706374019,0.17310521915705862,17.310521915705863
2010,Romantasy,60.61237520331727,17,-0.1301442614064808,3206.579706374019,0.018902500718392362,1.8902500718392363
2010,Science Fiction,486.9645345700408,127,0.012106183793059593,3206.579706374019,0.15186416030827357,15.186416030827358
2011,Dystopian / Post-Apocalyptic,351.03596675873325,119,-0.0990057177509375,4449.673344758188,0.07889027790596387,7.889027790596387
2011,Epic / High Fantasy,488.7488792077697,120,0.08482313885476779,4449.673344758188,0.10983927163631606,10.983927163631606
2011,Middle Grade Fantasy,519.8604807260904,113,0.049028360030139675,4449.673344758188,0.11683115600800165,11.683115600800164
2011,Mythology Adventure,306.11553856352714,62,0.1899666122568268,4449.673344758188,0.06879505861349078,6.879505861349077
2011,Paranormal / Supernatural,1132.972785693148,350,-0.10278260027831909,4449.673344758188,0.2546193165005729,25.46193165005729
2011,Paranormal Romance,834.122897996816,286,-0.06679322438318691,4449.673344758188,0.18745710827951695,18.745710827951694
2011,Romantasy,108.06991686520712,30,0.05618992059376419,4449.673344758188,0.024287157391568042,2.428715739156804
2011,Science Fiction,708.7468789468969,204,-0.15523335347187764,4449.673344758188,0.1592806536645698,15.92806536645698
2012,Dystopian / Post-Apocalyptic,528.0209575152523,174,-0.009909618601265944,4742.257471266391,0.11134379790944746,11.134379790944745
2012,Epic / High Fantasy,532.9809142467757,127,-0.020705191310311198,4742.257471266391,0.11238970416012574,11.238970416012574
2012,Middle Grade Fantasy,562.319226573842,126,0.07734513629980924,4742.257471266391,0.11857627511390226,11.857627511390225
2012,Mythology Adventure,290.30306176193943,66,0.08248436304836565,4742.257471266391,0.06121621685893317,6.1216216858933175
2012,Paranormal / Supernatural,1082.2214779898688,336,-0.13456112246462185,4742.257471266391,0.2282080811822451,22.82080811822451
2012,Paranormal Romance,770.6029489501897,269,-0.04028255247384469,4742.257471266391,0.16249707098767138,16.24970709876714
2012,Romantasy,129.3896511398544,38,0.12741721061014066,4742.257471266391,0.02728440029328515,2.728440029328515
2012,Science Fiction,846.4192330886682,243,-0.05624464907192602,4742.257471266391,0.17848445349438968,17.84844534943897
2013,Dystopian / Post-Apocalyptic,497.7072717927216,163,0.014710823367980987,3786.254621377645,0.13145108334305014,13.145108334305014
2013,Epic / High Fantasy,318.1422978450016,75,0.0036607981256191885,3786.254621377645,0.0840255951220851,8.40255951220851
2013,Middle Grade Fantasy,495.1409986087811,103,0.10515142135754305,3786.254621377645,0.13077329660112028,13.077329660112028
2013,Mythology Adventure,256.5197077994272,53,-0.05140119622283983,3786.254621377645,0.06775025280948786,6.775025280948786
2013,Paranormal / Supernatural,893.6807150712312,263,-0.12794813690630932,3786.254621377645,0.23603291496176812,23.603291496176812
2013,Paranormal Romance,547.367204368287,193,-0.07760004085699815,3786.254621377645,0.14456692935487925,14.456692935487926
2013,Romantasy,75.57024304455881,20,0.13949466909140132,3786.254621377645,0.01995910222674413,1.995910222674413
2013,Science Fiction,702.1261828476366,213,-0.09987609790461292,3786.254621377645,0.1854408255808652,18.54408255808652
2014,Dystopian / Post-Apocalyptic,419.17347079380556,130,0.0925069499667169,2937.982450295114,0.14267391922361566,14.267391922361567
2014,Epic / High Fantasy,375.3971470082398,90,0.010684825742596899,2937.982450295114,0.1277737880873087,12.77737880873087
2014,Middle Grade Fantasy,389.2847887187312,87,0.013850931689716031,2937.982450295114,0.13250071955999204,13.250071955999204
2014,Mythology Adventure,109.91466560979865,29,-0.1038359760420464,2937.982450295114,0.03741161408188737,3.741161408188737
2014,Paranormal / Supernatural,604.75068103006,171,-0.01569994521291806,2937.982450295114,0.20583876563636863,20.583876563636863
2014,Paranormal Romance,349.91958589795087,121,0.036797512932552,2937.982450295114,0.11910200003502477,11.910200003502478
2014,Romantasy,92.47784972103432,26,-0.008354423151268596,2937.982450295114,0.03147665150680022,3.147665150680022
2014,Science Fiction,597.0642615154937,171,0.03779325874975498,2937.982450295114,0.20322254186900263,20.322254186900263
2015,Dystopian / Post-Apocalyptic,320.14451354802486,100,0.01601071657573863,2473.78544796665,0.12941482609624474,12.941482609624474
2015,Epic / High Fantasy,413.31969628946507,93,0.23853191622844258,2473.78544796665,0.16707984786198693,16.707984786198693
2015,Middle Grade Fantasy,371.8049427836407,85,0.00502713606731206,2473.78544796665,0.1502979747452428,15.029797474524281
2015,Mythology Adventure,86.58032514837919,21,0.0507244493741517,2473.78544796665,0.03499912460862144,3.4999124608621437
2015,Paranormal / Supernatural,513.2684821452164,137,-0.04670904143627528,2473.78544796665,0.2074830226554619,20.74830226554619
2015,Paranormal Romance,239.10266621046574,83,-0.03278851036726796,2473.78544796665,0.0966545689752514,9.665456897525141
2015,Romantasy,60.551704085276015,18,0.2736358083691701,2473.78544796665,0.02447734670565187,2.447734670565187
2015,Science Fiction,469.01311775618194,131,-0.06404943135503614,2473.78544796665,0.18959328835153894,18.959328835153894
2016,Dystopian / Post-Apocalyptic,237.05179236798216,71,0.06294868060919288,1792.535124135821,0.13224387582489605,13.224387582489605
2016,Epic / High Fantasy,414.49790360333947,93,0.2158499198557634,1792.535124135821,0.2312355825123195,23.123558251231948
2016,Middle Grade Fantasy,342.9492590812185,77,0.03743572862341285,1792.535124135821,0.19132080284705935,19.132080284705935
2016,Mythology Adventure,59.34878655987588,16,0.09416379627931906,1792.535124135821,0.033108855587132696,3.3108855587132697
2016,Paranormal / Supernatural,204.78496846489037,59,-0.17260322633785447,1792.535124135821,0.11424321102975149,11.42432110297515
2016,Paranormal Romance,85.96878695890159,33,-0.11198088097937593,1792.535124135821,0.047959331898919995,4.795933189892
2016,Romantasy,65.41737137462079,18,0.15356854664762676,1792.535124135821,0.03649433168354702,3.6494331683547023
2016,Science Fiction,382.5162557249922,100,-0.08717720222286748,1792.535124135821,0.2133940086163739,21.33940086163739
2017,Dystopian / Post-Apocalyptic,134.30520560283838,41,-0.1719683501064765,1366.0141303568769,0.09831904562198825,9.831904562198824
2017,Epic / High Fantasy,319.3586807240371,75,0.1953815168785866,1366.0141303568769,0.2337887095213307,23.37887095213307
2017,Middle Grade Fantasy,228.56969782181727,52,0.037162780657252134,1366.0141303568769,0.16732601277126063,16.732601277126065
2017,Mythology Adventure,72.01407251312008,20,0.5225134192740299,1366.0141303568769,0.052718395009798406,5.271839500979841
2017,Paranormal / Supernatural,148.6442935931614,43,-0.3175816248222436,1366.0141303568769,0.10881607319415317,10.881607319415316
2017,Paranormal Romance,60.67532398911976,22,-0.3675740647356143,1366.0141303568769,0.0444177864933711,4.4417786493371105
2017,Romantasy,71.05210155800667,21,0.17798142187331284,1366.0141303568769,0.05201417758353935,5.201417758353935
2017,Science Fiction,331.39475455477617,81,-0.16429560674729457,1366.0141303568769,0.2425997998045583,24.25997998045583
2018,Dystopian / Post-Apocalyptic,131.98235656333028,38,0.22416266087200656,1131.59789017998,0.11663361845110773,11.663361845110773
2018,Epic / High Fantasy,253.19535426164336,55,0.2092790179665928,1131.59789017998,0.2237502883832461,22.37502883832461
2018,Middle Grade Fantasy,221.71884204495672,50,0.0026460099536042138,1131.59789017998,0.19593430137068607,19.59343013706861
2018,Mythology Adventure,31.613279350479317,9,0.09477073536880096,1131.59789017998,0.027936848968012167,2.7936848968012167
2018,Paranormal / Supernatural,184.97708584691355,46,-0.13686269429588468,1131.59789017998,0.16346538593978208,16.346538593978206
2018,Paranormal Romance,53.27786128654619,18,-0.032889354968619035,1131.59789017998,0.04708197297723168,4.708197297723168
2018,Romantasy,44.58710182557009,14,0.05802136686030527,1131.59789017998,0.03940189550766884,3.940189550766884
